# Title:                 FLOW SERIES
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       
# missing values are indicated by -999.000
#
# file generation date:  2030-07-21
#
# GRDC-No.:              6343100
# River:                 Vanilla
# Station:               WATERCASTEL
# Country:               Dreamland
# Latitude (DD):       95.5543845
# Longitude (DD):      82.453464
# Catchment area (km2):      11983.0
# Altitude (m ASL):        629.51
# Next downstream station:      7777777
# 
# 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m3/s
# Time series:           1826-11 - 2016-12
# No. of years:          191
# Last update:           2028-11-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 69458
# DATA
YYYY-MM-DD;hh:mm; Value
1826-11-01;--:--;172
1826-11-02;--:--;172
1826-11-03;--:--;168
1826-11-04;--:--;168
1826-11-05;--:--;168
1826-11-06;--:--;168
1826-11-07;--:--;172
1826-11-08;--:--;172
1826-11-09;--:--;163
1826-11-10;--:--;163
1826-11-11;--:--;168
1826-11-12;--:--;168
1826-11-13;--:--;168
1826-11-14;--:--;172
1826-11-15;--:--;172
1826-11-16;--:--;168
1826-11-17;--:--;159
1826-11-18;--:--;159
1826-11-19;--:--;159
1826-11-20;--:--;159
1826-11-21;--:--;154
1826-11-22;--:--;154
1826-11-23;--:--;154
1826-11-24;--:--;154
1826-11-25;--:--;151
1826-11-26;--:--;151
1826-11-27;--:--;151
1826-11-28;--:--;159
1826-11-29;--:--;154
1826-11-30;--:--;154
1826-12-01;--:--;159
1826-12-02;--:--;159
1826-12-03;--:--;163
1826-12-04;--:--;163
1826-12-05;--:--;168
1826-12-06;--:--;168
1826-12-07;--:--;177
1826-12-08;--:--;204
1826-12-09;--:--;240
1826-12-10;--:--;247
1826-12-11;--:--;247
1826-12-12;--:--;240
1826-12-13;--:--;236
1826-12-14;--:--;229
1826-12-15;--:--;221
1826-12-16;--:--;221
1826-12-17;--:--;211
1826-12-18;--:--;195
1826-12-19;--:--;181
1826-12-20;--:--;168
1826-12-21;--:--;151
1826-12-22;--:--;151
1826-12-23;--:--;143
1826-12-24;--:--;136
1826-12-25;--:--;136
1826-12-26;--:--;136
1826-12-27;--:--;136
1826-12-28;--:--;136
1826-12-29;--:--;133
1826-12-30;--:--;133
1826-12-31;--:--;133
1827-01-01;--:--;168
1827-01-02;--:--;168
1827-01-03;--:--;168
1827-01-04;--:--;168
1827-01-05;--:--;168
1827-01-06;--:--;168
1827-01-07;--:--;168
1827-01-08;--:--;168
1827-01-09;--:--;259
1827-01-10;--:--;215
1827-01-11;--:--;168
1827-01-12;--:--;151
1827-01-13;--:--;143
1827-01-14;--:--;143
1827-01-15;--:--;136
1827-01-16;--:--;136
1827-01-17;--:--;133
1827-01-18;--:--;133
1827-01-19;--:--;133
1827-01-20;--:--;133
1827-01-21;--:--;133
1827-01-22;--:--;129
1827-01-23;--:--;129
1827-01-24;--:--;129
1827-01-25;--:--;129
1827-01-26;--:--;123
1827-01-27;--:--;123
1827-01-28;--:--;123
1827-01-29;--:--;123
1827-01-30;--:--;123
1827-01-31;--:--;123
1827-02-01;--:--;129
1827-02-02;--:--;136
1827-02-03;--:--;136
1827-02-04;--:--;136
1827-02-05;--:--;140
1827-02-06;--:--;143
1827-02-07;--:--;143
1827-02-08;--:--;143
1827-02-09;--:--;181
1827-02-10;--:--;159
1827-02-11;--:--;159
1827-02-12;--:--;159
1827-02-13;--:--;195
1827-02-14;--:--;211
1827-02-15;--:--;211
1827-02-16;--:--;211
1827-02-17;--:--;181
1827-02-18;--:--;181
1827-02-19;--:--;181
1827-02-20;--:--;181
1827-02-21;--:--;172
1827-02-22;--:--;172
1827-02-23;--:--;172
1827-02-24;--:--;163
1827-02-25;--:--;163
1827-02-26;--:--;159
1827-02-27;--:--;159
1827-02-28;--:--;159
1827-03-01;--:--;159
1827-03-02;--:--;195
1827-03-03;--:--;195
1827-03-04;--:--;195
1827-03-05;--:--;181
1827-03-06;--:--;181
1827-03-07;--:--;181
1827-03-08;--:--;168
1827-03-09;--:--;168
1827-03-10;--:--;159
1827-03-11;--:--;159
1827-03-12;--:--;168
1827-03-13;--:--;168
1827-03-14;--:--;195
1827-03-15;--:--;381
1827-03-16;--:--;381
1827-03-17;--:--;332
1827-03-18;--:--;259
1827-03-19;--:--;195
1827-03-20;--:--;172
1827-03-21;--:--;172
1827-03-22;--:--;159
1827-03-23;--:--;159
1827-03-24;--:--;195
1827-03-25;--:--;259
1827-03-26;--:--;229
1827-03-27;--:--;229
1827-03-28;--:--;225
1827-03-29;--:--;225
1827-03-30;--:--;221
1827-03-31;--:--;221
1827-04-01;--:--;225
1827-04-02;--:--;229
1827-04-03;--:--;240
1827-04-04;--:--;352
1827-04-05;--:--;319
1827-04-06;--:--;311
1827-04-07;--:--;306
1827-04-08;--:--;311
1827-04-09;--:--;319
1827-04-10;--:--;319
